lat,long,Address,Country,State,totalCount
29.6488872,-82.3457487,"Astronomy Department, University of Florida, Gainesville, FL 32611, USA",United States,Florida,3
51.7528075,-0.2421333,"University Of Hertfordshire, College Lane, Hatfield, Hertfordshire AL10 9AB, UK",United Kingdom,NULL,3
35.2074515,-97.4348055,"440 East Brooks Street, Norman, OK 73071, USA",United States,Oklahoma,3
36.370373,127.3613691,"KAIST, 373-1 Guseong-dong, Yuseong-gu, Daejeon, South Korea",South Korea,NULL,3
44.2261474,-76.4965691,"Queen's University, 99 University Avenue, Kingston, ON K7L 3N6, Canada",Canada,Ontario,3
55.9230229,-3.1950366,"Blackford Hill, Edinburgh, City of Edinburgh EH9, UK",United Kingdom,NULL,3
51.7595334,-1.25842,"Keble Road, Oxford, Oxfordshire OX1 3LE, UK",United Kingdom,NULL,3
34.726024,-86.64402,"UAHuntsville, Huntsville, AL 35899, USA",United States,Alabama,3
33.75,-84.4,"Atlanta, GA 30302, USA",United States,Georgia,3
41.7014396,-86.2365948,"Department of Physics, University of Notre Dame, Notre Dame, IN 46556, USA",United States,Indiana,3
43.7505556,11.2544444,"Biblioteca dell'Osservatorio Astrofisico di Arcetri, Largo Enrico Fermi, 5, 50125 Florence, Italy",Italy,Tuscany,3
51.89217,-8.49286,"University College Cork, College Road, Cork, Ireland",Ireland,Cork,2
53.3498053,-6.2603097,"Dublin, Ireland",Ireland,Dublin,2
44.6311305,-63.5817947,"Halifax, NS B3H 3C3, Canada",Canada,Nova Scotia,2
34.1332355,-118.1276477,"770 South Wilson Avenue, California Institute of Technology, Pasadena, CA 91106, USA",United States,California,2
48.425114,-123.3647699,"Victoria, BC V8W 3P6, Canada",Canada,British Columbia,2
50.8639531,4.6796608,"Celestijnenlaan 200n, Katholieke Universiteit Leuven, 3001 Leuven, Belgium",Belgium,Flanders,2
39.99,-105.24,"Boulder, CO 80307, USA",United States,Colorado,2
38.9911983,-76.8525724,"Goddard Space Flight Center, 8800 Greenbelt Road, Greenbelt, MD 20771, USA",United States,Maryland,2
39.3327755,-76.6233337,"Steven Muller Building Space Telescope Science Institute, Baltimore, MD 21210, USA",United States,Maryland,2
44.2311717,-76.4859544,"Kingston, ON, Canada",Canada,Ontario,2
34.070264,-118.4440562,"Los Angeles, CA 90095, USA",United States,California,2
53.948098,-1.0530641,"The University of York, Heslington, York, North Yorkshire YO10 5DD, UK",United Kingdom,NULL,2
47.3775448,8.5478786,"Swiss Federal Institute of Technology Zurich, Rämistrasse 101, 8092 Zurich, Switzerland",Switzerland,Canton of Zurich,2
43.3073242,-2.0097747,"Universidad del País Vasco Campus Gipuzkoa, Avenida de Tolosa, 54, 20018 Donostia, G¡puzkoa, Gipuzkoa, Spain",Spain,Basque Country,2
49.2324999,9.1996377,"Uhlandstraße, 74177 Bad Friedrichshall, Germany",Germany,Baden-Wurttemberg,2
51.7564118,-1.2564042,"University of Oxford, University Offices, Wellington Square, Oxford, OX1 2JD, UK",United Kingdom,NULL,2
33.89297,-118.21646,"LMD, 411 South Santa Fe Avenue, Compton, CA 90221, USA",United States,California,2
42.3782397,-71.1154705,"Department of Earth and Planetary Sciences, Harvard University, Cambridge, MA 02138, USA",United States,Massachusetts,2
21.3175493,-157.8152491,"Honolulu, HI 96822, USA",United States,Hawaii,2
38.8887873,-77.0259291,"The Smithsonian Associates, 1100 Jefferson Drive Southwest, Washington, DC 20560, USA",United States,District of Columbia,2
48.8314408,2.3255684,"75014 Paris, France",France,Île-de-France,2
34.4208305,-119.6981901,"Santa Barbara, CA, USA",United States,California,2
36.164947,-86.8316822,"Alger V. Boswell Complex - Physics/Math/Chemistry, Tennessee State University, Nashville, TN 37209, USA",United States,Tennessee,2
34.1355451,-118.1260747,"Cahill Center for Astroscience and Astrophysics, California Institute of Technology, Pasadena, CA 91106, USA",United States,California,2
32.237788,-110.9563899,"Esquire, The University of Arizona, 1230 North Park Avenue #209, Tucson, AZ 85721, USA",United States,Arizona,2
39.90652,-75.35199,"Swarthmore College, 500 College Avenue, Swarthmore, PA 19081, USA",United States,Pennsylvania,2
41.7014385,-86.2365938,"Chemistry Physics Library, University of Notre Dame, 231 Nieuwland Science Center, Notre Dame, IN 46556, USA",United States,Indiana,2
49.3987524,8.6724335,"Heidelberg, Germany",Germany,Baden-Wurttemberg,2
40.0406506,-105.2077798,"Boulder, CO 80301, USA",United States,Colorado,2
40.7982133,-77.8599084,"Penn State University, 201 Old Main, University Park, PA 16802, USA",United States,Pennsylvania,2
21.3071919,-157.811614,"2680 Woodlawn Drive, University of Hawaii at Manoa, Honolulu, HI 96822, USA",United States,Hawaii,2
48.2081743,16.3738189,"Vienna, Austria",Austria,Vienna,2
39.9808434,116.477891,"Graduate School of Chinese Academy of Social Sciences, Wangjing, Chaoyang, Beijing, China",China,Beijing,2
52.3702157,4.8951679,"Amsterdam, The Netherlands",The Netherlands,North Holland,2
40.798193,-77.8629143,"Department of Astronomy and Astrophysics, The Pennsylvania State University, State College, PA 16801, USA",United States,Pennsylvania,2
34.4358294,-119.8276389,"Goleta, CA, USA",United States,California,2
30.6800246,-104.0249276,"McDonald Observatory Visitors Center, 3640 Dark Sky Drive, Fort Davis, TX 79734, USA",United States,Texas,2
60.4493248,22.259231,"Turku, Finland",Finland,NULL,2
-22.2840428,-48.5700115,"Universidade de São Paulo, Jaú - São Paulo, Brazil",Brazil,São Paulo,2
52.0249136,-0.7097474,"Milton Keynes MK7 6AA, UK",United Kingdom,NULL,2
19.7297222,-155.09,"Hilo, HI, USA",United States,Hawaii,2
51.4852547,-3.1674452,"The Parade, Roath, Cardiff CF24 3AB, UK",United Kingdom,NULL,2
43.4729885,-80.5452743,"University of Waterloo, 200 University Avenue West, Waterloo, ON N2L 3G1, Canada",Canada,Ontario,2
51.4998446,-0.1772095,"Prince Consort Road, London, Greater London SW7, UK",United Kingdom,NULL,2
45.5610759,-73.5943473,"Montreal, QC H2A 2T8, Canada",Canada,Quebec,2
49.9407434,-119.3962446,"University of British Columbia - Okanagan Campus, 3333 University Way, Kelowna, BC V1V 1V7, Canada",Canada,British Columbia,2
52.158494,4.496199,"Leiden, The Netherlands",The Netherlands,South Holland,2
42.3803274,-71.1389101,"Cambridge, MA 02138, USA",United States,Massachusetts,2
41.7896546,-87.5988419,"Chicago U, 5801 South Ellis Avenue, Chicago, IL 60637, USA",United States,Illinois,2
29.071708,-81.9739154,"Candler, FL 32111, USA",United States,Florida,2
39.292361,-76.881627,"2922 Excelsior Springs Court, Ellicott City, MD 21042, USA",United States,Maryland,2
39.1378897,-77.2169571,"National Institute of Standards and Technology, 100 Bureau Drive, Gaithersburg, MD 20899, USA",United States,Maryland,2
49.2684344,-123.2611099,"Vancouver, BC V6T 1Z1, Canada",Canada,British Columbia,2
38.6487895,-90.3107962,"Washington University, 1 Brookings Drive, St. Louis, MO 63130, USA",United States,Missouri,2
