lat,lng,Address,Country,State,totalCount
51.4998446,-0.1772095,"Prince Consort Road, London SW7, UK",United Kingdom,NULL,2
48.701844,2.134078,"Gif-sur-Yvette, France",France,Île-de-France,2
-33.5778376,-70.6947654,"Chile 22, San Bernardo, Santiago Metropolitan Region, Chile",Chile,Santiago Metropolitan Region,2
34.1427587,-118.1386005,"Pasadena, CA 91101, USA",United States,California,2
31.8310239,131.4125895,"１丁目 Gakuenkibanadainishi, Miyazaki, Miyazaki Prefecture 889-2192, Japan",Japan,Miyazaki Prefecture,2
32.7307219,-97.1163471,"Arlington, TX 76019, USA",United States,Texas,2
53.0088675,18.6047344,"Rabiańska 8, Torun, Poland",Poland,Kuyavian-Pomeranian Voivodeship,2
44.8305549,-0.527552,"Floirac, France",France,Aquitaine,2
52.3544534,4.9553595,"Science Park Amsterdam 904, University of Amsterdam, 1098 Amsterdam, The Netherlands",The Netherlands,North Holland,2
40.4715678,-3.4498346,"28850 Torrejón de Ardoz, Madrid, Spain",Spain,Community of Madrid,2
54.5844482,-5.9345016,"Queen's University Belfast, University Road, Belfast BT7 1NN, UK",United Kingdom,NULL,2
37.122997,-93.173455,"Fellowship Bible Church, 4855 South Farm Road 205, Rogersville, MO 65742, USA",United States,Missouri,2
36.9913856,-122.0608718,"University of California Santa Cruz, 1156 High Street, Santa Cruz, CA 95064, USA",United States,California,2
21.543489,39.172989,Jeddah Saudi Arabia,Saudi Arabia,Makkah Province,2
52.8353557,6.3658171,"7991 Dwingeloo, The Netherlands",The Netherlands,Drenthe,2
43.7437096,11.2580472,"50125 Province of Florence, Italy",Italy,Tuscany,2
42.0293102,-93.6473994,"Department of Physics and Astronomy, Iowa State University, Ames, IA 50011, USA",United States,Iowa,2
34.0706495,-118.4415158,"Department of Physics and Astronomy, UCLA, 470 Portola Plaza, Los Angeles, CA 90095, USA",United States,California,2
39.0336028,-94.5757631,"5110 Rockhill Road, University of Missouri-Kansas City, Kansas City, MO 64110, USA",United States,Missouri,2
42.276699,-83.7365302,"Department of Physics, University of Michigan - Central Campus, 450 Church Street, Ann Arbor, MI 48109, USA",United States,Michigan,2
37.8719573,-122.2600603,"University of California, Berkeley, University of California Berkeley, 2440 Bancroft Way, Berkeley, CA 94704, USA",United States,California,2
29.6488872,-82.3457487,"Astronomy Department, University of Florida, Gainesville, FL 32611, USA",United States,Florida,2
38.5449065,-121.7405167,"Davis, CA, USA",United States,California,2
41.8795848,-87.6237123,"The Art Institute of Chicago, 111 South Michigan Avenue, Chicago, IL 60603, USA",United States,Illinois,2
44.6373724,-63.5885259,"Halifax, NS B3H 3J5, Canada",Canada,Nova Scotia,2
-33.4691199,-70.641997,"Santiago, Santiago Metropolitan Region, Chile",Chile,Santiago Metropolitan Region,2
30.2835151,-97.7348805,"Austin, TX 78712, USA",United States,Texas,2
43.6607391,-79.3972921,"Department of Astronomy and Astrophysics, University of Toronto - St. George Campus, 50 Saint George Street, Toronto, ON M5S 3H4, Canada",Canada,Ontario,2
47.3686498,8.5391825,"Zurich, Switzerland",Switzerland,Canton of Zurich,2
41.9203468,-87.6433139,"Chicago, IL 60614, USA",United States,Illinois,2
35.03075,135.7858333,"Yukawa Institute for Theoretical Physics, Kitashirakawa Oiwakecho, Sakyo Ward, Kyoto, Kyoto Prefecture 606-8317, Japan",Japan,Kyoto Prefecture,2
35.030518,135.7836835,"Sakyo Ward, Kyoto, Kyoto Prefecture 606-8502, Japan",Japan,Kyoto Prefecture,2
43.706449,7.2922646,"06300 Nice, France",France,Provence-Alpes-Côte d'Azur,2
42.3944041,-72.5270718,"Department of Astronomy, University of Massachusetts Amherst, Amherst, MA 01002, USA",United States,Massachusetts,2
41.3171752,-72.9218023,"Astronomy Department, Yale University, 260 Whitney Avenue, New Haven, CT 06511, USA",United States,Connecticut,2
51.4579714,-2.6014743,"University of Bristol, Senate House, Tyndall Avenue, Bristol, City of Bristol BS8 1TH, UK",United Kingdom,NULL,2
51.842867,5.854622,"Nijmegen, The Netherlands",The Netherlands,Gelderland,2
43.465426,-80.528111,"Perimeter Institute for Theoretical Physics, 31 Caroline Street North, Waterloo, ON N2L 6B9, Canada",Canada,Ontario,2
38.965082,-77.068156,"Broad Branch Rd & MC Kinley St, Washington, DC 20015, USA",United States,District of Columbia,2
35.1893974,-111.6514545,"Northern Arizona University, 1415 South San Francisco Street, Flagstaff, AZ 86011, USA",United States,Arizona,2
